"i" "j" "x"
50 52 0.125190930032633
51 52 0.250079098557507
52 52 0.166762571570337
59 52 0.0622973166587519
60 52 0.125074060332406
61 52 0.0830616732224964
42 53 0.0622774798006445
43 53 0.166892389406727
51 53 0.125074060332407
52 53 0.333433115232736
60 53 0.0622973166587287
61 53 0.166762571570336
44 54 0.166717746583145
45 54 0.0622847566835927
53 54 0.333343489995019
54 54 0.125048843723199
62 54 0.166802707720293
63 54 0.0624538895243927
44 55 0.0830393466392502
45 55 0.125048843723198
46 55 0.0622774798006155
53 55 0.166717746583146
54 55 0.250028679254874
55 55 0.125151066442178
62 55 0.0832727861819125
63 55 0.125100628404283
64 55 0.0624465966735721
45 56 0.0622847566835978
46 56 0.125034233955876
47 56 0.0622774798006155
54 56 0.125165689860925
55 56 0.249999467782629
56 56 0.125151066442178
63 56 0.0624538895243929
64 56 0.125086020183282
65 56 0.0624465966735721
46 57 0.0622774798006155
47 57 0.125034233955876
48 57 0.0622774798006155
55 57 0.125151066442178
56 57 0.249999467782629
57 57 0.125151066442178
64 57 0.0624465966735721
65 57 0.125086020183282
66 57 0.0624465966735721
47 58 0.0622774798006155
48 58 0.125034233955876
49 58 0.0622973166587422
56 58 0.125151066442178
57 58 0.249999467782629
58 58 0.125190930032634
65 58 0.0624465966735721
66 58 0.125086020183282
67 58 0.0624790696668607
48 59 0.0622774798006155
49 59 0.125074060332408
50 59 0.0622973166587287
57 59 0.125151066442178
58 59 0.25007909855751
59 59 0.125074060332407
66 59 0.0624465966735721
67 59 0.12515106644217
68 59 0.0622774798006445
49 60 0.0622973166587294
50 60 0.125074060332406
51 60 0.0622973166587519
58 60 0.125074060332408
59 60 0.250079098557507
60 60 0.125190930032633
67 60 0.0622774798006446
68 60 0.12515106644217
69 60 0.062479069666861
50 61 0.0622973166587519
51 61 0.125074060332406
52 61 0.0830616732224964
59 61 0.125190930032633
60 61 0.250079098557507
61 61 0.166762571570337
68 61 0.062479069666861
69 61 0.12515106644217
70 61 0.0830487322691851
51 62 0.0622973166587287
52 62 0.166762571570336
60 62 0.125074060332407
61 62 0.333433115232736
69 62 0.0622774798006445
70 62 0.166892389406727
53 63 0.166873528309699
54 63 0.0624863701048443
62 63 0.333202020088585
63 63 0.124983843003488
71 63 0.200260509119735
72 63 0.0666368287710131
53 64 0.0833081418897396
54 64 0.125165689860925
55 64 0.0624790696668649
62 64 0.166646992107004
63 64 0.249898713686093
64 64 0.125086020183281
71 64 0.0999758983803345
72 64 0.133479423261003
73 64 0.0624790696668649
54 65 0.0624863701048445
55 65 0.125151066442178
56 65 0.0624790696668649
63 65 0.125100628404282
64 65 0.249869532572585
65 65 0.125086020183281
72 65 0.0666368287710133
73 65 0.125151066442178
74 65 0.0624790696668649
55 66 0.0624790696668649
56 66 0.125151066442178
57 66 0.0624790696668649
64 66 0.125086020183281
65 66 0.249869532572585
66 66 0.125086020183281
73 66 0.0624790696668649
74 66 0.125151066442178
75 66 0.0624790696668649
56 67 0.0624790696668649
57 67 0.125151066442178
58 67 0.0624989707361574
65 67 0.125086020183281
66 67 0.249869532572585
67 67 0.125151066442169
74 67 0.0624790696668649
75 67 0.125151066442178
76 67 0.0624989707361574
57 68 0.0624790696668649
58 68 0.125190930032635
59 68 0.0622973166587749
66 68 0.125086020183281
67 68 0.249999467782612
68 68 0.125034233955868
75 68 0.0624790696668649
76 68 0.125190930032635
77 68 0.0622973166587749
58 69 0.0622973166587756
59 69 0.125190930032633
60 69 0.0624989707361571
67 69 0.125034233955868
68 69 0.249999467782612
69 69 0.12515106644217
76 69 0.0622973166587756
77 69 0.125190930032633
78 69 0.0624989707361571
59 70 0.0624989707361571
60 70 0.125190930032633
61 70 0.083061673222558
68 70 0.12515106644217
69 70 0.249999467782612
70 70 0.166736590072742
77 70 0.0624989707361571
78 70 0.125190930032633
79 70 0.083061673222558
60 71 0.0622973166587749
61 71 0.166918395181537
69 71 0.125034233955868
70 71 0.333381166575434
78 71 0.0622973166587749
79 71 0.166918395181537
62 72 0.166802707720293
63 72 0.0624538895243927
71 72 0.40003670860402
72 72 0.133354815989703
80 72 0.0906224917476193
62 73 0.0832727861819125
63 73 0.125100628404283
64 73 0.0624465966735721
71 73 0.200073559588631
72 73 0.266636040137942
73 73 0.125151066442178
80 73 0.181942395085892
81 73 0.0664278287402992
63 74 0.0624538895243929
64 74 0.125086020183282
65 74 0.0624465966735721
72 74 0.133479423261002
73 74 0.249999467782629
74 74 0.125151066442178
80 74 0.0906224917476267
81 74 0.13336687204567
82 74 0.0622774798006155
