"X" "Y" "pop" "id" "cell"
4082187.88062647 2778012.25798565 "GER" "GER_04" 4579
4082239.96406385 2778012.22298546 "GER" "GER_05" 4579
4082329.92386048 2778014.99572689 "GER" "GER_06" 4579
4082445.2138869 2777944.35653298 "GER" "GER_07" 4579
4082504.60731764 2777850.5537255 "GER" "GER_08" 4579
4082604.68730666 2777808.3908884 "GER" "GER_09" 4579
4082693.42855929 2777695.51849955 "GER" "GER_10" 4579
4082741.9468166 2777497.6111527 "GER" "GER_12" 4579
4082789.62764974 2777405.4316985 "GER" "GER_13" 4579
4082833.62179101 2777308.96217272 "GER" "GER_14" 4579
4082903.28669578 2777194.69450582 "GER" "GER_15" 4579
4082961.00058654 2776998.61739608 "GER" "GER_16" 4579
4083024.43363605 2776886.84631872 "GER" "GER_17" 4579
4083073.19440998 2776784.61059987 "GER" "GER_18" 4579
4083098.23067176 2776696.75114057 "GER" "GER_19" 4579
4083119.61413214 2776647.98822875 "GER" "GER_20" 4579
4083216.41478389 2776475.81405775 "GER" "GER_21" 4579
4082735.32923634 2777596.70041719 "GER" "GER_11" 4579
4285265.32851929 2579721.15719247 "BON" "BON_04" 4820
4285464.30588415 2579756.57793324 "BON" "BON_03" 4820
4285622.71472231 2579761.35533363 "BON" "BON_02" 4820
4285774.46134089 2579830.18650523 "BON" "BON_01" 4820
4285218.05047952 2579714.96908853 "BON" "BON_05" 4820
4285171.81389786 2579709.99590508 "BON" "BON_06" 4820
4284792.34755068 2579561.59627235 "BON" "BON_08" 4820
4284795.44502694 2579526.26682433 "BON" "BON_09" 4820
4284891.14532165 2579535.35706631 "BON" "BON_10" 4820
4284967.14228193 2579646.03165274 "BON" "BON_07" 4820
4285170.93197021 2579454.18884955 "BON" "BON_11" 4820
4039041.99006079 2381973.44562701 "BOS" "BOS_01" 4935
4039024.85531109 2382051.98528225 "BOS" "BOS_02" 4935
4038969.59119485 2382034.61509859 "BOS" "BOS_03" 4935
4038971.96922017 2382020.06720408 "BOS" "BOS_04" 4935
4038995.68067814 2381915.6766351 "BOS" "BOS_05" 4935
4038966.80377445 2381812.66619964 "BOS" "BOS_06" 4935
4038928.42361489 2381773.39904113 "BOS" "BOS_07" 4935
4038857.05852679 2381852.28723982 "BOS" "BOS_08" 4935
4038812.35170036 2381897.71136047 "BOS" "BOS_09" 4935
4038767.85321221 2381908.70339008 "BOS" "BOS_10" 4935
4038727.06802963 2381956.16317776 "BOS" "BOS_11" 4935
4038674.50369422 2382030.83153051 "BOS" "BOS_12" 4935
4038645.69071211 2382085.49725857 "BOS" "BOS_13" 4935
4038607.56434147 2382131.72155587 "BOS" "BOS_14" 4935
4038556.18537355 2382183.01636384 "BOS" "BOS_15" 4935
4038448.91926519 2382249.17780959 "BOS" "BOS_16" 4935
4038429.71818889 2382274.51801295 "BOS" "BOS_17" 4935
